lag,downsample_factor,filter_time,lstm_layers,learning_rate,batch_size,r2_flex_ext,r2_pro_sup,r2,mse
1,5,20,"(64, 32)",8e-05,128,0.7944325804710388,0.5697457194328308,0.6820886135101318,474.34995
3,1,50,"(64, 32)",8e-05,128,0.865564227104187,0.694060206413269,0.7798125743865967,331.23987
5,1,50,"(64, 32)",8e-05,128,0.8598915338516235,0.6099853515625,0.7349377870559692,406.87564
3,5,50,"(64, 32)",8e-05,128,0.8699405193328857,0.6790964007377625,0.7745189070701599,342.20038
3,5,20,"(64, 32)",8e-05,32,0.8900585174560547,0.6944129467010498,0.7922369837760925,319.21005
1,5,50,"(64, 32)",8e-05,128,0.7757852077484131,0.5598847270011902,0.6678334474563599,491.8799
3,3,50,"(64, 32)",8e-05,32,0.8705048561096191,0.6903082132339478,0.7804074883460999,332.1482
3,3,20,"(64, 32)",8e-05,32,0.8905115127563477,0.6935216784477234,0.7920176982879639,319.77133
1,3,50,"(64, 32)",8e-05,32,0.7735977172851562,0.5654339790344238,0.6695156097412109,488.07117
1,1,50,"(64, 32)",8e-05,128,0.7660595774650574,0.5688853859901428,0.6674720048904419,488.65472
3,3,20,"(64, 32)",8e-05,128,0.888444721698761,0.7028322219848633,0.7956387996673584,312.63858
1,1,20,"(64, 32)",8e-05,128,0.7932417392730713,0.575278639793396,0.6842601895332336,470.08087
1,3,50,"(64, 32)",8e-05,128,0.7767899036407471,0.5638575553894043,0.670322835445404,487.9256
1,3,20,"(64, 32)",8e-05,128,0.7976686954498291,0.5805109739303589,0.6890890598297119,463.39313
3,1,50,"(64, 32)",8e-05,32,0.8702943325042725,0.6882451772689819,0.7792704105377197,334.04935
5,1,20,"(64, 32)",8e-05,32,0.8772992491722107,0.6063116788864136,0.7418046593666077,401.73328
5,1,20,"(64, 32)",8e-05,128,0.8776160478591919,0.6018058061599731,0.7397105693817139,405.5058
3,5,50,"(64, 32)",8e-05,32,0.8703257441520691,0.6842676997184753,0.7772974967956543,337.50427
3,3,50,"(64, 32)",8e-05,128,0.8745318055152893,0.6931412220001221,0.7838367223739624,327.75098
1,5,20,"(64, 32)",8e-05,32,0.7942854166030884,0.5690205693244934,0.681653618812561,475.05258
3,1,20,"(64, 32)",8e-05,32,0.8833131790161133,0.7112480998039246,0.7972812056541443,307.75122
5,1,50,"(64, 32)",8e-05,32,0.8520593047142029,0.6104886531829834,0.7312738299369812,410.19003
3,5,20,"(64, 32)",8e-05,128,0.8867888450622559,0.6898562908172607,0.7883237600326538,324.75
1,5,50,"(64, 32)",8e-05,32,0.7700894474983215,0.5610333681106567,0.6655609011650085,493.59503
1,3,20,"(64, 32)",8e-05,32,0.7947452068328857,0.5745644569396973,0.6846551299095154,469.9866
1,1,20,"(64, 32)",8e-05,32,0.7948357462882996,0.5760160684585571,0.6854264140129089,468.67386
1,1,50,"(64, 32)",8e-05,32,0.7658592462539673,0.5656430721282959,0.6657514572143555,491.5843
5,3,20,"(64, 32)",8e-05,32,0.8818285465240479,0.6212416887283325,0.7515344619750977,386.55725
3,1,20,"(64, 32)",8e-05,128,0.8824697136878967,0.6749311685562134,0.7787013053894043,339.83868
1,1,20,"(64, 32)",0.0001,32,0.7935776114463806,0.5730010271072388,0.6832882761955261,471.9136
