lag,features,learning_rate,batch_size,r2_flex_ext,r2_pro_sup,r2,mse
1,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",8e-05,128,0.8561859130859375,0.6570628881454468,0.7566238045692444,368.5144
1,"('mav', ('ssc', 0.0003))",8e-05,32,0.7748159170150757,0.5689109563827515,0.6718629598617554,484.44998
5,"('rms', ('zc', 0.003), ('ssc', 0.0003))",0.0001,32,0.9136545062065125,0.7257403135299683,0.8196966052055359,280.28012
5,"('rms',)",8e-05,32,0.8598536849021912,0.6388965845108032,0.7493747472763062,381.7098
5,"('rms',)",8e-05,128,0.8517139554023743,0.6392988562583923,0.7455052137374878,385.2614
3,"('mav', ('ssc', 0.0003))",8e-05,128,0.8625916838645935,0.6565062999725342,0.7595493197441101,365.42572
5,"('rms', ('zc', 0.003), ('ssc', 0.0003))",8e-05,128,0.9149296879768372,0.7234995365142822,0.8192137479782104,281.62085
5,"('rms', ('zc', 0.003), ('ssc', 0.0003))",0.0001,128,0.9161509275436401,0.7263671159744263,0.821258008480072,278.53802
3,"('rms',)",8e-05,32,0.8202773332595825,0.6000683903694153,0.7101738452911377,434.9104
5,"('mav', ('ssc', 0.0003))",0.0001,32,0.8868434429168701,0.693335771560669,0.7900891304016113,321.355
5,"('mav', ('ssc', 0.0003))",8e-05,32,0.8934561610221863,0.6902115345001221,0.7918328046798706,320.90814
3,"('rms', ('zc', 0.003), ('ssc', 0.0003))",8e-05,32,0.899196982383728,0.6968395709991455,0.7980191707611084,312.72083
5,"('mav', ('ssc', 0.0003))",0.0001,128,0.888109028339386,0.6986581087112427,0.7933831214904785,316.11252
3,"('rms', ('zc', 0.003), ('ssc', 0.0003))",0.0001,128,0.8966200947761536,0.6937366724014282,0.7951788902282715,316.66165
5,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",0.0001,128,0.9251993894577026,0.7548420429229736,0.8400206565856934,249.39636
1,"('rms', ('zc', 0.003), ('ssc', 0.0003))",0.0001,128,0.8258955478668213,0.6131187677383423,0.7195066213607788,421.40207
3,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",0.0001,32,0.9148885607719421,0.7294975519180298,0.8221932649612427,276.72147
3,"('mav', ('ssc', 0.0003))",0.0001,32,0.8629757761955261,0.6554664373397827,0.7592225074768066,366.14728
1,"('rms',)",0.0001,128,0.723723292350769,0.5166794657707214,0.6202009320259094,554.519
1,"('mav', ('ssc', 0.0003))",8e-05,128,0.7701532244682312,0.570526123046875,0.6703400015830994,485.26407
1,"('rms', ('zc', 0.003), ('ssc', 0.0003))",8e-05,128,0.8276629447937012,0.6163727641105652,0.7220175266265869,417.7124
5,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",8e-05,32,0.9291767477989197,0.7486262321472168,0.8389013409614563,252.90479
3,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",8e-05,128,0.9121232032775879,0.7252770066261292,0.8187004327774048,281.72665
5,"('mav', ('ssc', 0.0003))",8e-05,128,0.8865318298339844,0.6861017942428589,0.7863169312477112,327.8047
1,"('rms',)",8e-05,128,0.7253408432006836,0.5181318521499634,0.6217355728149414,552.4769
1,"('rms',)",8e-05,32,0.7267588376998901,0.5223480463027954,0.6245535612106323,548.11255
1,"('rms', ('zc', 0.003), ('ssc', 0.0003))",0.0001,32,0.8239784240722656,0.6112663745880127,0.7176222801208496,423.93665
5,"('rms',)",0.0001,128,0.8477754592895508,0.6350604295730591,0.7414166927337646,390.841
3,"('rms',)",8e-05,128,0.8227708339691162,0.5956376194953918,0.709205150604248,437.58316
3,"('mav', ('ssc', 0.0003))",0.0001,128,0.8593474626541138,0.6505951881408691,0.7549717426300049,372.135
5,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",8e-05,128,0.9298350214958191,0.7569131851196289,0.8433735370635986,245.37158
3,"('rms',)",0.0001,128,0.8201501965522766,0.5969539880752563,0.70855313539505,437.6883
5,"('rms', ('zc', 0.003), ('ssc', 0.0003))",8e-05,32,0.9148651361465454,0.728197455406189,0.8215309977531433,277.55856
1,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",0.0001,128,0.8555529117584229,0.655718207359314,0.7556356191635132,369.99133
1,"('mav', ('zc', 0.003), ('ssc', 0.0003), 'wl')",8e-05,32,0.8603322505950928,0.6595178842544556,0.7599249482154846,364.38687
3,"('rms',)",0.0001,32,0.8210287690162659,0.5980610251426697,0.7095464468002319,436.30145
3,"('mav', ('ssc', 0.0003))",8e-05,32,0.8613839149475098,0.6575974225997925,0.7594912052154541,365.05133
3,"('rms', ('zc', 0.003), ('ssc', 0.0003))",8e-05,128,0.8987845182418823,0.6931304931640625,0.7959579229354858,316.15497
3,"('rms', ('zc', 0.003), ('ssc', 0.0003))",0.0001,32,0.8981636166572571,0.7034167051315308,0.8007906675338745,307.47787
